漢字,羅馬字,詞性/解說
尖刀,chiam-to,
年金,nî-kim,
年費,nî-hùi,
年鑑,nî-kàm,
成因,sêng-in,
收件,siu-kiāⁿ,
收押,siu-ah,
死傷,sí-siong,
汗水,kōaⁿ-chúi,
百年,pah-nî,
肉類,bah-lūi,
自用,chū-iōng,
自助,chū-chō͘,
自衛,chū-ōe,
血癌,hoeh-gâm/huih-gâm,
行文,hêng-bûn,
行事曆,hêng-sū-le̍k,
行員,hâng-oân,
西區,se-khu,
串聯,chhoàn-liân,
佛學,Hu̍t-ha̍k,
伸長,chhun-tn̂g,
免不了,bián-put-liáu,
免除,bián-tû,
判刑,phòaⁿ-hêng,
利害,lī-hāi,
劫機,kiap-ki,
吳郭魚,ngô͘-koeh-hî/ngô͘-koeh-hû,
告辭,kò-sî,
含意,hâm-ì,
壯麗,chòng-lē,
宏觀,hông-koan,
序幕,sū-bō͘,
床鋪,chhn̂g-pho͘,
忍者,jím-chiá/lím-chiá,
戒心,kài-sim,
抗衡,khòng-hêng,
投球,tâu-kiû,
改寫,kái-siá,
攻讀,kong-tho̍k,
村長,chhun-tiúⁿ,
求職,kiû-chit,
決戰,koat-chiàn,
私底下,su-té-hā/su-tóe-hā,
走漏,cháu-lāu,
車展,chhia-tián,
防火,hông-hóe/hông-hé,
防毒,hông-to̍k,
防護,hông-hō͘,
兩難,lióng-lân,
受益,siū-ek,
受騙,siū-phiàn,
味覺,bī-kak,
周詳,chiu-siông,
夜間,iā-kan,
奉獻,hōng-hiàn,
奈何,nāi-hô,
委屈,úi-khut,
季刊,kùi-khan,
定點,tēng-tiám,
岸邊,hōaⁿ-piⁿ,
底線,té-sòaⁿ/tóe-sòaⁿ,
延燒,iân-sio,
怪怪,koài-koài,
所致,só͘-tì,
抽換,thiu-ōaⁿ,
抽驗,thiu-giām,
拖吊車,thoa-tiàu-chhia,
放任,hòng-jīm/hòng-līm,
放空,pàng-khang,
放射,hòng-siā,
明朗,bêng-lóng,
明智,bêng-tì,
東岸,tang-hōaⁿ,
武功,bú-kong,
武將,bú-chiòng,
法定,hoat-tēng,
法網,hoat-bāng,
法寶,hoat-pó,
油性,iû-sèng,
油門,iû-mn̂g,
油價,iû-kè,
油罐車,iû-koàn-chhia,
直系,ti̍t-hē,
直播,ti̍t-pò͘,
知音,ti-im,
社教館,Siā-kàu-koán,
空前,khong-chiân,
空隙,khang-khiah,
花店,hoe-tiàm,
花茶,hoe-tê,
花園,hoe-hn̂g,
表白,piáu-pe̍k,
表態,piáu-thài,
迎戰,gêng-chiàn,
金黃,kim-n̂g,
長桌,tn̂g-toh,
長裙,tn̂g-kûn,
長線,tn̂g-sòaⁿ,
附錄,hù-lo̍k,
青草,chheⁿ-chháu/chhiⁿ-chháu,
信物,sìn-bu̍t,
保戶,pó-hō͘,
保送,pó-sàng,
保單,pó-toaⁿ,
保額,pó-gia̍h,
俗諺,sio̍k-gān,
前程,chiân-têng,
前線,chiân-sòaⁿ,
南亞,Lâm-a,
南海,Lâm-hái,
品管,phín-koán,
宣誓,soan-sè,
宣讀,soan-tho̍k,
室外,sek-gōa,
客串,kheh-chhoàn,
帝王,tè-ông,
建照,kiàn-chiàu,
後台,āu-tâi,
後勤,āu-khîn/āu-khûn,
按下,àn-hā,
指認,chí-jīn/chí-līn,
政界,chèng-kài,
政務,chèng-bū,
故宮,Kò͘-kiong,
柔情,jiû-chêng/liû-chêng,
架勢,kè-sè,
查明,chhâ-bêng,
查證,chhâ-chèng,
毒害,to̍k-hāi,
毒素,to̍k-sò͘,
流動率,liû-tōng-lu̍t,
流域,liû-he̍k,
流速,liû-sok,
流量,liû-liōng,
流標,liû-pio,
活性,oa̍h-sèng,
為止,ûi-chí,
皇室,hông-sek,
相配,siong-phòe/siong-phè,
相通,siong-thong,
相連,sio-liân,
相傳,siong-thoân,
相隔,siong-keh,
相貌,siòng-māu,
相識,siong-sek,
突發,tu̍t-hoat,
突變,tu̍t-piàn,
紅十字會,Âng-si̍p-jī-hōe/Âng-si̍p-lī-hōe,
紅外線,âng-gōa-sòaⁿ,
紅牌,âng-pâi,
紅塵,hông-tîn,
紀律,kì-lu̍t,
約定,iok-tēng,
美工,bí-kang,
美色,bí-sek,
美夢,bí-bāng,
美滿,bí-boán,
耶誕,Iâ-tàn,
胃藥,ūi-io̍h,
致謝,tì-siā,
苦難,khó͘-lān,
英尺,eng-chhioh,
訂製,tēng-chè,
軍階,kun-kai,
重生,tiông-seng,
重來,têng-lâi,
重型,tāng-hêng,
限定,hān-tiāⁿ,
限期,hān-kî,
面目,bīn-bo̍k,
風力,hong-le̍k,
風風雨雨,hong-hong-ú-ú,
風華,hong-hôa,
風雲,hong-hûn,
風範,hong-hoān,
倍數,pōe-sò͘,
倚重,í-tiōng,
倒會,tó-hōe,
個展,kò-tián,
修法,siu-hoat,
修剪,siu-chián,
修習,siu-si̍p,
修練,siu-liān,
修辭,siu-sû,
剝削,pak-siah,
原木,goân-bo̍k,
原狀,goân-chōng,
原型,goân-hêng,
原訂,goân-tēng,
原創,goân-chhòng,
原裝,goân-chong,
埋伏,bâi-ho̍k,
埋怨,bâi-oàn,
家務,ka-bū,
家禽,ka-khîm,
宴請,iàn-chhiáⁿ,
宵禁,siau-kìm,
射門,siā-mn̂g,
射程,siā-têng,
島嶼,tó-sū/tó͘-sū,
恐龍,khióng-liông,
恩怨,un-oàn,
捐助,koan-chō͘,
效法,hāu-hoat,
旁觀者,pông-koan-chiá,
時日,sî-ji̍t/sî-li̍t,
書刊,su-khan,
書展,su-tián,
校正,kàu-chèng,
根基,kin-ki/kun-ki,
根源,kin-goân/kun-goân,
桌面,toh-bīn,
氣功,khì-kong,
氣色,khì-sek,
氣派,khì-phài,
氣體,khì-thé,
氧化,ióng-hòa,
海水,hái-chúi,
海馬,hái-bé,
海運,hái-ūn,
海灣,hái-oan,
浮雕,phû-tiau,
特使,te̍k-sài,
特例,te̍k-lē,
特首,te̍k-siú,
病史,pēⁿ-sú/pīⁿ-sú,
破除,phò-tû,
祖產,chó͘-sán,
神態,sîn-thài,
租約,cho͘-iok,
祕笈,pì-ki̍p,
笑聲,chhiò-siaⁿ,
紋理,bûn-lí,
紋路,bûn-lō͘,
素養,sò͘-ióng,
紛亂,hun-loān,
紛雜,hun-cha̍p,
缺憾,khoat-hām,
能耐,lêng-nāi,
航程,hâng-têng,
航權,hâng-khoân,
茶藝館,tê-gē-koán,
託付,thok-hù,
起草,khí-chhó,
起駕,khí-kà,
迷失,bê-sit,
迷思,bê-su,
退還,thè-hêng,
迴避,hôe-pī,
追擊,tui-kek,
酒店,chiú-tiàm,
配色,phòe-sek/phè-sek,
閃光,siám-kng,
院區,īⁿ-khu,
骨架,kut-kè,
高地,ko-tē/ko-tōe,
高架,ko-kè,
停工,thêng-kang,
停刊,thêng-khan,
停靠,thêng-khò,
做為,chò-ûi/chòe-ûi,
偵察,cheng-chhat,
偏重,phian-tiōng,
副刊,hù-khan,
動亂,tōng-loān,
商務,siong-bū,
商隊,siong-tūi,
唱法,chhiùⁿ-hoat,
唱盤,chhiùⁿ-pôaⁿ,
問話,mn̄g-ōe,
國手,kok-chhiú,
國文,kok-bûn,
國父,Kok-hū,
國片,kok-phìⁿ,
國安會,Kok-an-hōe,
國情,kok-chêng,
國道,kok-tō,
堅信,kian-sìn,
執筆,chip-pit,
執勤,chip-khîn/chip-khûn,
宿命,siok-bēng,
專任,choan-jīm/choan-līm,
專政,choan-chèng,
專員,choan-oân,
專書,choan-su,
專精,choan-cheng,
專職,choan-chit,
將士,chiòng-sū,
常務,siông-bū,
帶狀,tài-chōng,
強姦,kiông-kan,
強度,kiông-tō͘,
彩繪,chhái-hōe,
得票,tek-phiò,
探究,thàm-kiù,
接班,chiap-pan,
接單,chiap-toaⁿ,
掩護,iám-hō͘,
掃黃,sàu-n̂g,
推案,thui-àn,
推翻,thui-hoan,
授課,siū-khò,
採納,chhái-la̍p,
救濟,kiù-chè,
教廷,Kàu-têng,
教宗,Kàu-chong,
敗壞,pāi-hoāi,
敘事,sū-sū,
晚安,boán-an,
梯次,the-chhù,
條文,tiâu-bûn,
淡薄,tām-po̍h,
淒涼,chhe-liâng,
深情,chhim-chêng,
深層,chhim-chân,
牽引,khan-ín,
理監事,lí-kàm-sū,
異國,ī-kok,
疏散,so͘-sàn,
眾神,chiòng-sîn,
票據,phiò-kì/phiò-kù,
票選,phiò-soán,
祭品,chè-phín,
移居,î-ku,
移師,î-su,
第二春,tē-jī-chhun/tē-lī-chhun,
第四台,tē-sì-tâi,
符碼,hû-má,
粗淺,chho͘-chhián,
組件,cho͘-kiāⁿ,
組別,cho͘-pia̍t,
終年,chiong-nî,
終點,chiong-tiám,
脫水,thoat-chúi,
貨款,hòe-khoán/hè-khoán,
通信,thong-sìn,
通俗,thong-sio̍k,
通航,thong-hâng,
通關,thong-koan,
連貫,liân-koàn,
透天,thàu-thiⁿ,
透視,thàu-sī,
野台戲,iá-tâi-hì,
野花,iá-hoe,
陳設,tîn-siat,
陰暗,im-àm,
章節,chiong-chiat,
魚群,hî-kûn/hû-kûn,
魚類,hî-lūi/hû-lūi,
創始,chhòng-sí,
勞委會,Lô-úi-hōe,
勞苦,lô-khó͘,
勞資,lô-chu,
勝訴,sèng-sò͘,
喜氣,hí-khì,
圍捕,ûi-pó͘,
圍堵,ûi-tó͘,
復古,ho̍k-kó͘,
復發,ho̍k-hoat,
提報,thê-pò,
景況,kéng-hóng,
景致,kéng-tì,
暑期,sú-kî,
智能,tì-lêng,
港灣,káng-oan,
渡海,tō͘-hái,
湖面,ô͘-bīn,
無妨,bû-hông,
無知,bû-ti,
無緣,bô-iân,
猩猩,seng-seng,
畫法,ōe-hoat,
畫展,ōe-tián,
畫像,ōe-siōng,
畫圖,ōe-tô͘,
畫質,ōe-chit,
發函,hoat-hâm,
發病,hoat-pēⁿ/hoat-pīⁿ,
發聲,hoat-siaⁿ,
盜版,tō-pán,
硬化,ngē-hòa/ngī-hòa,
窗外,thang-gōa,
等到,tán-kàu,
筆試,pit-chhì,
結交,kiat-kau,
結業,kiat-gia̍p,
結緣,kiat-iân,
紫色,chí-sek,
裁示,chhâi-sī,
裁定,chhâi-tēng,
裁員,chhâi-oân,
評定,phêng-tēng,
詐領,chà-niá,
超凡,chhiau-hoân,
超收,chhiau-siu,
超然,chhiau-jiân/chhiau-liân,
進用,chìn-iōng,
進貨,chìn-hòe/chìn-hè,
進階,chìn-kai,
鄉愁,hiong-chhiû,
開門,khui-mn̂g,
開端,khai-toan,
雅緻,ngá-tì,
雄偉,hiông-úi,
集會,chi̍p-hōe,
集權,chi̍p-khoân,
飲用水,ím-iōng-chúi,
飲品,ím-phín,
黃絲帶,n̂g-si-tòa,
亂源,loān-goân,
亂碼,loān-bé,
傳回,thoân-hôe/thoân-hê,
傳單,thoân-toaⁿ,
傳媒,thoân-mûi,
傳話,thoân-ōe,
催眠,chhui-bîn,
傷寒,siong-hân,
匯集,hōe-chi̍p,
園遊會,oân-iû-hōe,
園藝,oân-gē,
塑身,sok-sin,
微弱,bî-jio̍k/bî-lio̍k,
意象,ì-siōng,
搜救,so͘-kiù,
搶救,chhiúⁿ-kiù,
新任,sin-jīm/sin-līm,
新式,sin-sek,
新增,sin-cheng,
會報,hōe-pò,
溪頭,Khe-thâu/Khoe-thâu,
煎餅,chian-piáⁿ,
煩心,hoân-sim,
當日,tong-ji̍t/tong-li̍t,
盟友,bêng-iú,
節稅,chiat-sòe/chiat-sè,
義工,gī-kang,
聖嬰,Sèng-eng,
落入,lo̍h-ji̍p/lo̍h-li̍p,
落下,lo̍h-hā,
號外,hō-gōa,
補校,pó͘-hāu,
補給,pó͘-kip,
補選,pó͘-soán,
補繳,pó͘-kiáu,
解析,kái-sek,
解套,kái-thò,
解救,kái-kiù,
解碼,kái-má,
詳盡,siông-chīn,
詩句,si-kù,
詩作,si-chok,
話劇,ōe-kio̍k,
路上,lō͘-siōng,
路徑,lō͘-kèng,
跳動,thiàu-tōng,
跳棋,thiàu-kî,
跳樓,thiàu-lâu,
載入,chài-ji̍p/chài-li̍p,
載客,chài-kheh,
運量,ūn-liōng,
遊樂,iû-lo̍k,
過剩,kòe-sēng,
遍佈,piàn-pò͘,
鉛球,iân-kiû,
電阻,tiān-chó͘,
電流,tiān-liû,
電路,tiān-lō͘,
電磁,tiān-chû,
預知,ī-ti/ū-ti,
頒佈,pan-pò͘,
飽滿,pá-móa,
嘉賓,ka-pin,
團費,thoân-hùi,
圖騰,tô͘-thêng,
夢見,bāng-kìⁿ,
實況,si̍t-hóng,
實戰,si̍t-chiàn,
對焦,tùi-chiau,
對準,tùi-chún,
彰顯,chiong-hián,
慘烈,chhám-lia̍t,
截稿,chia̍t-kó,
榮民,êng-bîn,
演進,ián-chìn,
演藝,ián-gē,
漢人,Hàn-jîn/Hàn-lîn,
漫談,bān-tâm,
漁業,hî-gia̍p/hû-gia̍p,
疑點,gî-tiám,
疑難,gî-lân,
盡頭,chīn-thâu,
監理,kàm-lí,
精子,cheng-chú,
精巧,cheng-khá,
綠卡,le̍k-khah,
罰球,hoa̍t-kiû,
腐敗,hú-pāi,
腐爛,hú-nōa,
臺電,Tâi-tiān,
舞曲,bú-khek,
舞動,bú-tōng,
舞會,bú-hōe,
製法,chè-hoat,
製播,chè-pò͘,
認領,jīn-niá/līn-niá,
說唱,soat-chhiùⁿ,
遠見,oán-kiàn,
酵素,kàⁿ-sò͘,
銀樓,gîn-lâu/gûn-lâu,
銅環,tâng-khoân,
閣樓,koh-lâu,
領軍,niá-kun,
劇院,kio̍k-īⁿ,
噴射,phùn-siā,
噴墨,phùn-ba̍k,
增生,cheng-seng,
寬容,khoan-iông,
審視,sím-sī,
寫生,siá-seng,
廢氣,hùi-khì,
廣義,kóng-gī,
廠長,chhiúⁿ-tiúⁿ,
彈奏,tôaⁿ-chàu,
徵求,teng-kiû,
慧眼,hūi-gán,
摩西,Mô͘-se,
撥款,poah-khoán,
撫慰,hú-ùi,
敵對,te̍k-tùi,
樣式,iūⁿ-sek,
標明,piau-bêng,
樓層,lâu-chàn,
樂界,ga̍k-kài,
樂音,ga̍k-im,
潰瘍,khùi-iông,
熟練,se̍k-liān,
熱火,jia̍t-hóe/lia̍t-hóe,
熱度,jia̍t-tō͘/lia̍t-tō͘,
熱舞,jia̍t-bú/lia̍t-bú,
獎牌,chióng-pâi,
稿費,kó-hùi,
緣份,iân-hūn,
衛兵,ōe-peng,
調和,tiâu-hô,
調配,tiâu-phòe/tiâu-phè,
調理,tiâu-lí,
調頻,tiâu-pîn,
論調,lūn-tiāu,
賞花,siúⁿ-hoe,
賞畫,siúⁿ-ōe,
踏出,ta̍h-chhut,
鋪路,pho͘-lō͘,
震動,chìn-tōng,
駐軍,chù-kun,
黎明,lê-bêng,
儒家,Jû-ka/Lû-ka,
學府,ha̍k-hú,
學會,ha̍k-hōe,
導師,tō-su,
戰事,chiàn-sū,
橫向,hoâiⁿ-hiòng/hûiⁿ-hiòng,
機油,ki-iû,
燈具,teng-kū,
磨練,bôa-liān,
親和,chhin-hô,
親筆,chhin-pit,
親善,chhin-siān,
謀取,bô͘-chhú,
謀殺,bô͘-sat,
遵照,chun-chiàu,
選務,soán-bū,
選單,soán-toaⁿ,
鋼牙,kǹg-gê,
鋼筋,kǹg-kin/kǹg-kun,
鋼絲,kǹg-si,
錄用,lo̍k-iōng,
錄影,lo̍k-iáⁿ,
錦標,kím-piau,
隨機,sûi-ki,
靜音,chēng-im,
頭頂,thâu-téng,
應急,èng-kip,
應徵,èng-teng,
擊退,kek-thè,
燭光,chek-kng,
環節,khoân-chiat,
總結,chóng-kiat,
聯播,liân-pò͘,
膽識,tám-sek,
舉出,kí-chhut/kú-chhut,
講求,káng-kiû,
講座,káng-chō,
邀約,iau-iok,
鞠躬,kiok-kiong,
斷定,toàn-tēng,
斷訊,tn̄g-sìn,
斷頭,tn̄g-thâu,
歸類,kui-lūi,
職災,chit-chai,
職缺,chit-khoeh/chit-kheh,
職能,chit-lêng,
職訓,chit-hùn,
藍調,nâ-tiāu,
轉手,choán-chhiú,
轉折,choán-chiat,
轉接,choán-chiap,
轉速,tńg-sok,
鎮靜,tìn-chēng,
離奇,lî-kî,
離散,lî-sàn,
離職,lî-chit,
雜音,cha̍p-im,
雜質,cha̍p-chit,
雙腿,siang-thúi,
雙親,siang-chhin,
雙贏,siang-iâⁿ,
雞肉,ke-bah/koe-bah,
題庫,tê-khò͘/tôe-khò͘,
鬆軟,sang-nńg,
穩重,ún-tiōng,
繳款,kiáu-khoán,
繳費,kiáu-hùi,
藝品,gē-phín,
藥廠,io̍h-chhiúⁿ,
關照,koan-chiàu,
難民,lān-bîn,
難關,lân-koan,
韻味,ūn-bī,
顛峰,tian-hong,
嚴峻,giâm-chùn,
寶典,pó-tián,
寶島,pó-tó/pó-tó͘,
獻身,hiàn-sin,
競技,kēng-ki,
籌募,tiû-bō͘,
籃框,nâ-kheng,
警局,kéng-kio̍k,
警車,kéng-chhia,
警界,kéng-kài,
警消,kéng-siau,
譯者,e̍k-chiá,
贏球,iâⁿ-kiû,
飄揚,phiau-iông,
黨工,tóng-kang,
黨政,tóng-chèng,
黨章,tóng-chiong,
欄位,nôa-ūi,
灌注,koàn-chù,
護航,hō͘-hâng,
護膚,hō͘-hu,
護欄,hō͘-lân,
鐵門,thih-mn̂g,
鐵質,thih-chit,
霸權,pà-khoân,
魔力,mô͘-le̍k,
讀物,tho̍k-bu̍t,
鑑賞,kàm-sióng,
竊盜,chhiap-tō,
變異,piàn-ī,
變速,piàn-sok,
變質,piàn-chit,
顯出,hián-chhut,
顯微鏡,hián-bî-kiàⁿ,
體悟,thé-ngō͘,
靈巧,lêng-khá,
鹼性,kiⁿ-sèng,
鹽份,iâm-hūn,
鹽水,iâm-chúi,
觀想,koan-sióng,
觀照,koan-chiàu,
觀摩,koan-mô͘,
口語,kháu-gí/kháu-gú,
大部份,tōa-pō͘-hūn,
工錢,kang-chîⁿ,
天邊,thiⁿ-piⁿ,
水底,chúi-té,
水缸,chúi-kng,
他鄉,thaⁿ-hiong,
全家,choân-ke,
冷風,léng-hong,
冷盤,léng-pôaⁿ,
含笑,hâm-chhiàu,
吟詩,gîm-si,
稀罕,hi-hán,
忍心,jím-sim/lím-sim,
和好,hô-hó,
河邊,hô-piⁿ,
油菜花,iû-chhài-hoe,
花燈,hoe-teng,
初戀,chho͘-loân,
拼音,pheng-im,
相思,siuⁿ-si,
軍師,kun-su,
音樂聲,im-ga̍k-siaⁿ,
員外,oân-gōe,
純情,sûn-chêng,
胸前,heng-chêng,
乾杯,kan-poe,
做官,chò-koaⁿ,
動詞,tōng-sû,
情份,chêng-hūn,
惜別,sioh-pia̍t,
探戈,thàn-gò͘,
殖民者,si̍t-bîn-chiá,
等號,téng-hō,
華語,Hôa-gí/Hôa-gú,
傳教,thoân-kàu,
傳道,thoân-tō,
傷風,siong-hong,
微波爐,bî-pho-lô͘,
電台,tiān-tâi,
夢中,bāng-tiong,
盡心,chīn-sim,
福利社,hok-lī-siā,
語義,gí-gī/gú-gī,
獎券,chióng-koàn,
戰後,chiàn-āu,
親情,chhin-chêng,
閻王,Giâm-ông,
羅馬字,Lô-má-jī/Lô-má-lī,
讀書,tha̍k-chu,
變做,piàn-chò/piàn-chòe,
掃地,sàu-tè,
內野,lāi-iá,
滿壘,móa-lúi,
全壘打,choân-lúi-táⁿ,
界外球,kài-gōa-kiû,
短打,toán-táⁿ,
做對,chò-tùi/chòe-tùi,
立春,li̍p-chhun,[] 約當國曆二月四日或五日，這一天是春季的開始。
雨水,ú-súi,[] 約當國曆二月十九或二十日。從這天開始，氣溫開始回暖，空氣中溼度也提高，下雨的機率自然也就大大地增加。
驚蟄,keⁿ-ti̍t,[] 約當國曆三月五日或六日。乃春雷響，驚動冬眠動物的時候。
春分,chhun-hun,[] 約當國曆三月二十一或二十二日，這一天南北半球的晝夜長短平均。
清明,chheng-bêng/chhiⁿ-miâ,[] 約當國曆四月四日或五日，民眾通常會在這一天掃墓。
穀雨,kok-ú,[] 約當國曆四月廿日或廿一日。此時約進入梅雨季，農事上非常需要雨水。
立夏,li̍p-hē,[] 約當國曆五月六日或七日。這一天是夏季的開始。
小滿,sió-boán,[] 約當國曆五月廿一日或廿二日。北方一期農作漸趨成熟，南方則為梅雨季。
芒種,bông-chéng,[] 約當國曆六月六日或六月七日。因為在這個時節穀物會開出芒花，所以稱為「芒種」。
夏至,hē-chì,[] 約當國曆六月廿一日或廿二日。這天晝最長夜最短，也是最熱的時期。
小暑,siáu-sú,[] 約當國曆七月七日或七月八日。
大暑,tāi-sú,[] 約當國曆七月廿三日或廿四日。是一年中天氣最熱的時候。
立秋,li̍p-chhiu,[] 約當國曆八月七日、八日或九日。這一天是秋季的開始。
處暑,chhù-sú,[] 約當國曆八月廿三或廿四日。時序上雖已入秋，但天氣仍十分炎熱，且仍屬颱風季節。
白露,pe̍h-lō͘,[] 約當國曆九月八日前後。
秋分,chhiu-hun,[] 約當國曆九月二十二、二十三或二十四日，這一天南北半球的晝夜長短平均。
寒露,hân-lō͘,[] 約當國曆十月八日或九日。時序上進入深秋，但臺灣氣候仍然炎熱，水稻則進入黃熟期。
霜降,sng-kàng,[] 約當國曆十月二十三或二十四日。
立冬,li̍p-tang,[] 約當國曆十一月七日或八日。這一天是冬季的開始，民間常藉機進補。
小雪,siáu-soat,[] 約當國曆十一月廿二日或廿三日。北方開始下微量的雪，南方收割水稻，或進入下期農作。
大雪,tāi-soat,[] 約當國曆十二月七日或八日。為天氣嚴寒之時，在北方已是大雪紛飛，故稱。
冬節,tang-cheh/tang-choeh,[] 亦為傳統民俗節日。約當國曆十二月二十二或二十三日。這一天黑夜最長，白天最短。在民間習俗上，這一天要搓湯圓，並祭祀祖先和神明。
小寒,siáu-hân,[] 約當國曆一月五日或一月六日。南方雜糧作物收割時期。
大寒,tāi-hân,[] 約當國曆一月二十或二十一日的時候，是一年之中最冷的日子。
a-lú-mih,a-lú-mih,[] 鋁、輕銀。源自日語アルミ(arumi)。
a-mó͘-ní-á,a-mó͘-ní-á,[] 阿摩尼亞。源自日語アンモニア(ammonia)。
a-ní-khih,a-ní-khih,[] 老兄。源自日語あにき(aneki)，日語漢字為「兄貴」。
a-sír-phí-lín,a-sír-phí-lín,[] 阿斯匹林。源自日語アスピリン(asupirin)。
á-geh,á-geh,[] 阿給、油豆腐。源自日語あげ(age)，日語漢字為「揚げ」。
ăi-sat-chuh,ăi-sat-chuh,[] 打招呼、問候。源自日語あいさつ(aisachu)，日語漢字為「挨拶」。
ăi-sīr-khu-lìn-mù,ăi-sīr-khu-lìn-mù,[] 冰淇淋。源自日語アイスクリーム(aisukuriimu)。
àn-nāi,àn-nāi,[] 招待、引導。源自日語あんない(annai)，日語漢字為「案內」。
a̍t-sá-lih,a̍t-sá-lih,[] 乾脆、阿莎力。源自日語あっさり(assari)。
àu-chuh,àu-chuh,[] 出局。源自日語アウト(auto)。
bá-luh,bá-luh,[] 拔釘子的器具。源自日語バール(baaru)。
bá-suh,bá-suh,[] 巴士、公共汽車。源自日語バス(basu)。
bá-tah,bá-tah,[] 奶油。源自日語バター(bataa)。
bai-ó͘-lín,bai-ó͘-lín,[] 小提琴。源自日語バイオリン(baiorin)。
băi-khín,băi-khín,[] 黴菌、細菌。源自日語ばいきん(baekin)，日語漢字為「黴菌」。
bak-kuh,bak-kuh,[] 倒車。源自日語バック(bakku)。
bàn-bà,bàn-bà,[] 保險桿。源自日語バンバー/バンパー(bambaa/bampaa)。
bàng-gà,bàng-gà,[] 漫畫、動畫片、卡通。源自日語まんが(manga)，日語漢字為「漫画」。
ba̍t-té-lih,ba̍t-té-lih,[] 蓄電池。源自日語バッテリー(batterii)。
bat-tah,bat-tah,[] 球棒。源自日語バッター(battaa)。
bi-tá-bín,bi-tá-bín,[] 維他命、維生素。源自日語ビタミン(bitamin)。
bì-lù,bì-lù,[] 啤酒。源自日語ビール(biiru)。
biat-to͘h,biat-to͘h,[] 彈簧床。源自日語ベット(betto)。
bo̍k-sìn-gù,bo̍k-sìn-gù,[] 拳擊。源自日語ボクシング(bokushengu)。
bò͘-lù,bò͘-lù,[] 壞球。源自日語ボール(bo͘ru)。
bò͘-tò͘,bò͘-tò͘,[] 小船。源自日語ボート(bo͘to)。
bu-là-jià,bu-là-jià,[] 胸罩。源自日語ブラジャー(burajaa)。
e-pú-lóng,e-pú-lóng,[] 圍裙。源自日語エプロン(epuron)。
ga-só͘-lín,ga-só͘-lín,[] 汽油。源自日語ガソリン(gasorin)。
gá-lah,gá-lah,[] 焦炭。源自日語がら(gara)。
gá-suh,gá-suh,[] 瓦斯。源自日語ガス(gasu)。
gì-tà,gì-tà,[] 吉他。源自日語ギター(gitaa)。
giāng,giāng,[] 猜拳。源自日語じゃんけん(janken)，日語漢字為「じゃん拳」。
gō͘-bō͘,gō͘-bō͘,[] 牛蒡。源自日語ごぼう(gobo͘)，日語漢字為「牛蒡」。
go͘-lú-huh,go͘-lú-huh,[] 高爾夫球。源自日語ゴルフ(gorufu)。
ha-mó͘-ní-khah,ha-mó͘-ní-khah,[] 口琴。源自日語ハーモニカ(haamoneka)。
há-muh,há-muh,[] 洋火腿。源自日語ハム(hamu)。
hăi-khé-khá-kuh,hăi-khé-khá-kuh,[] 肺結核。源自日語はいけっかく(haekekkaku)，日語漢字為「肺結核」。
hài-ià,hài-ià,[] 包租汽車、高級轎車。源自日語ハイヤ(haiya)。
hái-kat-lá,hái-kat-lá,[] 西裝頭。源自日語ハイカラ/ハイーカラ(haekara/haiekara)。
hăn-tó͘-luh,hăn-tó͘-luh,[] 方向盤。源自日語ハンドル(handoru)。
hăng-gó͘,hăng-gó͘,[] 飯盒。源自日語はんごう(hango͘)，日語漢字為「飯盒」。
hi-nó͘-khih,hi-nó͘-khih,[] 檜木。源自日語ひのき(hinoki)，日語漢字為「檜」。
ho͘-lú-bóng,ho͘-lú-bóng,[] 荷爾蒙。源自日語ホルモン(horumon)。
ho͘-té-luh,ho͘-té-luh,[] 飯店、旅社。源自日語ホテル(hoteru)。
hú-lo͘h,hú-lo͘h,[] 浴桶、風呂、洗澡。源自日語ふろ(furo)，日語漢字為「風呂」。
iá-mih,iá-mih,[] 黑市。源自日語やみ(yami)，日語漢字為「闇」。
iăn-jín,iăn-jín,[] 引擎。源自日語エンジン(enjin)。
iŏ-káng,iŏ-káng,[] 羊羹。源自日語ようかん(yo͘kan)，日語漢字為「羊羹」。
ió-bih,ió-bih,[] 預備。源自日語よび(yobi)，日語漢字為「予備」。
iú-lih,iú-lih,[] 百合花。源自日語ゆり(yuri)，日語漢字為「百合」。
ji-lú-bah,ji-lú-bah,[] 吉魯巴。源自日語ジルバ(jiruba)。
jiak-kuh,jiak-kuh,[] 拉鍊。源自日語チャック(chakku)。
jiàn-bà,jiàn-bà,[] 夾克。源自日語ジャンパー(jampaa)。
jió-toh,jió-toh,[] 上等、高級。源自日語じょうとう(jo͘to͘)，日語漢字為「上等」。
kha-báng,kha-báng,[] 皮包、文件箱、手提包。源自日語かばん(kaban)，日語漢字為「鞄」。
kha-lá-ó͘-khe,kha-lá-ó͘-khe,[] 卡拉OK。源自日語カラオケ(karaoke)。
kha-mé-lah,kha-mé-lah,[] 照相機、開麥拉。源自日語カメラ(kamera)。
